,url,creation-date,update-date,salary,category,job-name,employment,schedule,description,duty,requirement,company
0,https://trudvsem.ru/vacancy/card/307574309200102/96d8f566-3cce-11e7-a1ca-ef76bd2a03c1,2017-06-15 00:00:00 MSK,2017-06-15 21:58:31 MSK,от 20000 до 25000,"['Административная работа, секретариат, АХО']",Оператор-секретарь,Частичная занятость,Сменный график,"<p>Ответственность;</p>
<p>Аккуратность;</p>
<p>Пунктуальность.</p>","<p>регистрация и консультация клиентов;</p>
<p>работа с письмами(отправка,прием,составление</p>
<p>базы данных);</p>
<p>прием и отправка корреспонденции.</p>","['education:Среднее', 'qualification:None']","['name:ИП Богатых Надежда Николаевна', 'contact_name:Лариса', 'hr_agency:false']"
1,https://trudvsem.ru/vacancy/card/312691013300023/748c9d86-35b3-11e7-a8f8-4376a32b3f45,2017-06-15 00:00:00 MSK,2017-06-15 21:20:53 MSK,от 40000 до 45000,"['Продажи, закупки, снабжение, торговля']",Менеджер по работе с клиентами,Частичная занятость,Сменный график,"<p>коммуникабельность;</p>
<p>умение работать в команде;</p>
<p>целеустремленность.</p>
<p>&nbsp;</p>","<p>&nbsp;</p>
<p>работа с постоянными клиентами;</p>
<p>ведение переговоров и оформление договоров;</p>
<p>создание и поддержание партнерских отношений;</p>
<p>активный поиск клиентов,имеется готовая клиентская база.</p>","['education:Среднее профессиональное', 'qualification:None']","['name:ИП Гусев Павел Петрович', 'contact_name:Гусев Павел Петрович', 'hr_agency:false']"
2,https://trudvsem.ru/vacancy/card/307574309200102/382b0f36-2c3e-11e7-a5a3-4376a32b3f45,2017-06-15 00:00:00 MSK,2017-06-15 22:00:27 MSK,от 25000 до 30000,"['Кадровая служба, управление персоналом']",Менеджер по персоналу,Частичная занятость,Гибкий график,"<p>Ответственность;</p>
<p>Организаторские способности;</p>
<p>Уверенность в себе.</p>","<p>Ведение кадрового делопроизводства;</p>
<p>Отчетность;</p>
<p>Составление кадрового резерва;</p>
<p>Разработка штатного расписания.</p>
<p>&nbsp;</p>","['education:Среднее', 'qualification:None']","['name:ИП Богатых Надежда Николаевна', 'contact_name:Богатых Надежда Николаевна', 'hr_agency:false']"
3,https://trudvsem.ru/vacancy/card/307574309200102/e50a9ca6-2eac-11e7-b2f6-ef76bd2a03c1,2017-06-15 00:00:00 MSK,2017-06-15 22:00:52 MSK,от 25000 до 30000,"['Административная работа, секретариат, АХО']",Администратор,Частичная занятость,Гибкий график,"<p>Пунктуальность;</p>
<p>Аккуратность;</p>
<p>Позитивность;</p>
<p>Стрессоустойчивость.</p>","<p>Работа с документами;</p>
<p>Проведение первичных переговоров;</p>
<p>Работа с входящими письмами и звонками;</p>
<p>Делопроизводство.</p>","['education:Среднее', 'qualification:None']","['name:ИП Богатых Надежда Николаевна', 'contact_name:Богатых Надежда Николаевна', 'hr_agency:false']"
